id,name,source,category,size,description,last_updated
61,OT Network Monitoring,OT Security,Industrial,145,Operational technology security,2024-03-15
62,SCADA System Logs,SCADA,Industrial,165,Supervisory control and data acquisition,2024-03-16
63,ICS Protocol Analysis,ICS,Industrial,125,Industrial control system protocols,2024-03-17
64,PLC Configuration Backups,PLC,Industrial,110,Programmable logic controller configs,2024-03-18
65,RTU Telemetry Data,RTU,Industrial,105,Remote terminal unit data,2024-03-19
66,HMI Access Logs,HMI,Industrial,95,Human machine interface logs,2024-03-20
67,DCS Event History,DCS,Industrial,135,Distributed control system events,2024-03-21
68,BAS Building Automation,BAS,Industrial,85,Building automation system security,2024-03-22
69,Medical Device Inventory,IoMT,Healthcare,120,Internet of medical things,2024-03-23
70,Vehicle Network Data,Automotive,Transportation,155,Automotive cybersecurity,2024-03-24
71,Avionics System Logs,Aviation,Aerospace,165,Aviation cybersecurity data,2024-03-25
72,Maritime Navigation,Maritime,Transportation,145,Ship navigation system security,2024-03-26
73,Rail Control Systems,Rail,Transportation,135,Railway control system security,2024-03-27
74,Energy Grid SCADA,Energy,Utilities,185,Power grid security monitoring,2024-03-28
75,Water Treatment SCADA,Water,Utilities,165,Water system cybersecurity,2024-03-29
76,Oil & Gas Pipeline,Oil & Gas,Energy,175,Pipeline control system security,2024-03-30
77,Nuclear Plant Controls,Nuclear,Energy,195,Nuclear facility cybersecurity,2024-03-31
78,Smart Meter Data,Smart Grid,Energy,105,Smart grid security data,2024-04-01
79,Renewable Energy Systems,Renewables,Energy,115,Renewable energy cybersecurity,2024-04-02
80,Spacecraft Telemetry,Space,Aerospace,205,Satellite and spacecraft security,2024-04-03
81,GPS Signal Analysis,GPS,Navigation,95,Global positioning system security,2024-04-04
82,Satellite Communication,SATCOM,Communications,125,Satellite communication security,2024-04-05
83,5G Network Slices,5G,Telecom,145,5G network security monitoring,2024-04-06
84,VoIP Call Logs,VoIP,Telecom,85,Voice over IP security,2024-04-07
85,IMSI Catcher Detection,Cell Security,Telecom,95,Cellular network security,2024-04-08
86,Rogue Base Station,Cell Security,Telecom,105,Unauthorized cellular equipment,2024-04-09
87,SS7 Protocol Analysis,SS7,Telecom,115,Signaling system No. 7 security,2024-04-10
88,Diameter Protocol Logs,Diameter,Telecom,125,Diameter protocol security,2024-04-11
89,Blockchain Transaction,Blockchain,Finance,185,Cryptocurrency transaction analysis,2024-04-12
90,Smart Contract Audits,Smart Contracts,Blockchain,165,Smart contract security reviews,2024-04-13
91,DeFi Protocol Monitoring,DeFi,Finance,145,Decentralized finance security,2024-04-14
92,NFT Marketplace Logs,NFT,Blockchain,125,Non-fungible token security,2024-04-15
93,DAO Governance Votes,DAO,Blockchain,115,Decentralized autonomous organization,2024-04-16
94,Cross-Chain Bridge,Cross-Chain,Blockchain,135,Cross-chain bridge security,2024-04-17
95,Oracle Price Feeds,Oracles,Blockchain,105,Blockchain oracle security,2024-04-18
96,Staking Protocol Data,Staking,Blockchain,95,Proof-of-stake security data,2024-04-19
97,Layer 2 Rollup Data,Rollups,Blockchain,115,Layer 2 scaling solution security,2024-04-20
98,ZK Proof Verification,ZK,Blockchain,125,Zero-knowledge proof security,2024-04-21
99,Multi-Party Computation,MPC,Blockchain,135,Secure multi-party computation,2024-04-22
100,Quantum Key Distribution,QKD,Quantum,155,Quantum cryptography key data,2024-04-23
